OBJECTID,ASSETID,ID,Location,TOOLTIP,NLA_URL
1730,22743,10880,54TH  ST  AT  VERMONT  AV,54TH  ST  AT  VERMONT  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=10880
1731,22752,15494,WILSHIRE  BL  AT  UNION  AV,WILSHIRE  BL  AT  UNION  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=15494
1732,22753,17073,VIGNES  ST  S/O  COMMERCIAL  ST,VIGNES  ST  S/O  COMMERCIAL  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=17073
1733,22757,12831,OLYMPIC BL AT WESTERN AV,OLYMPIC BL AT WESTERN AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=12831
1734,20254,11665,CASHIO  ST  AT  BEDFORD  ST,CASHIO  ST  AT  BEDFORD  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11665
1735,20258,11692,HOLT AV AT CASHIO ST,HOLT AV AT CASHIO ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11692
1736,20262,14438,6th ST AT GRAND VIEW ST,6th ST AT GRAND VIEW ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=14438
1737,20266,11817,HOLT  AV  AT  18TH  ST,HOLT  AV  AT  18TH  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11817
1738,20267,14704,7TH  ST  W/O  FIGUEROA  ST,7TH  ST  W/O  FIGUEROA  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=14704
1739,20278,14735,FIGUEROA  ST  S/O  7TH  ST,FIGUEROA  ST  S/O  7TH  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=14735
1740,20284,16615,WABASH AV AT FICKETT ST,WABASH AV AT FICKETT ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=16615
1741,20289,14752,12th ST AT  BURLINGTON AV,12th ST AT  BURLINGTON AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=14752
1742,20296,12208,SHENANDOAH ST  AT  WHITWORTH DR,SHENANDOAH ST  AT  WHITWORTH DR,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=12208
1743,20303,12251,HAUSER  BL  AT  8TH  ST,HAUSER  BL  AT  8TH  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=12251
1744,21099,51758,WHITE OAK  AV AT CORINTHIAN DR,WHITE OAK  AV AT CORINTHIAN DR,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=51758
