OBJECTID,healthind,boeint_fkey,calenvscreen,GlobalID
72,65.527844,96064,63.3070438761,c2b23acd-a00c-4553-8250-a3d13963bf50
73,65.527844,96065,63.3070438761,9274b086-a2c0-4c7b-9085-a6089c95e034
74,63.13222,96066,52.9835930723,1ca57e89-467b-48aa-b154-fef06c7c4835
75,65.003888,96067,57.7767217997,3ee895b9-31a2-49e7-9667-8641cead1436
76,64.800478,96068,50.3500036263,957e9a77-51a9-4ef6-a625-6415ccbc297e
77,60.140161,96070,54.3135666004,6cd54718-d1d5-43fa-95be-f6a9a55fd763
78,53.925238,96072,40.6528121456,b5a08887-3811-46cd-adc1-4fac14099388
79,53.925238,96073,40.6528121456,3f8ab350-df86-48a9-a032-95f550064a77
80,59.598602,96074,49.4588109621,8ae4ac15-e136-4deb-ba13-aae5c7bd6390
81,65.046701,96075,55.3833854855,3abcdb83-3c3d-4c12-84cf-2726f75f9819
82,60.994081,96076,48.4868926076,b75e63b0-9393-45a7-9bc7-54dd688d1ac4
83,55.659289,96077,44.0232238548,fe3d3c8a-f53c-45cf-9709-251fa8be6a34
84,52.072396,96079,27.7608664399,9807a3c9-5022-4d95-8516-7cbd1d671ff8
85,52.072396,96080,27.7608664399,3f1ca0df-1bf2-4970-a3a4-f81bdc247436
86,52.072396,96081,27.7608664399,c5aa81d7-a279-49b9-a95c-b969589d2d77
87,52.072396,96082,27.7608664399,016e709c-d440-4ca0-a34e-7c8ab219d653
88,52.072396,96083,27.7608664399,3d67b77f-84df-4b97-a74b-1aed708f0888
89,51.772602,96085,51.0256643634,961bb244-1435-470d-bb24-5f9ce83fe8df
90,58.106812,96086,46.3481879504,9ffc7c46-0811-4bd0-a0b2-68eee4f2fc76
91,59.427837,96087,48.9210444047,66a3e5cc-bbca-4c53-a056-5984695e5d07
92,59.427837,96089,48.9210444047,51726313-0ae0-4217-9d6b-9460a417b0e9
93,63.789406,96090,47.7075849969,0ce30b2d-49a6-4c17-9b81-42928f9ed9d6
94,61.16432,96091,54.9242502986,78e81fc3-e5e5-4448-8d39-e3e693b06bee
95,60.832291,96092,48.4757602357,542475b6-da1d-47c6-807e-fe87c4e965a8
96,64.839911,96093,49.4283256508,849798e6-ea37-4491-aa36-616ea39c0e44
97,64.839911,96094,49.4283256508,3f8c38d7-c1a4-4514-b80d-6bca6ac24c0d
98,54.617586,96095,56.0533566857,8999205b-c515-4466-b5cb-db9a815cad7e
99,56.281427,96096,39.3331799109,fdd1c72f-bf37-43e7-b0fb-39f83a8bbef6
100,64.402843,96098,49.304444013,f64e4314-f3e6-4a65-b554-ece0b6ec76c1
101,66.240032,96099,55.506758022,d632c4f5-d00f-4fca-879f-16fde4289cbd
102,58.389392,96100,48.7869986952,9b6c54bc-847c-4441-81af-2b508a8cdbde
103,54.377163,96102,32.9972339363,80850816-ec7d-4cc4-abda-6c3c25e19856
104,63.247973,96104,53.8348275897,254c5f28-0f02-437c-a613-161a0068d44f
105,61.113858,96105,49.5009743449,1585464d-7c48-4d90-8c12-575c72da6b41
106,61.113858,96106,49.5009743449,dca8f6ae-58c0-4688-b3f5-5c3e075b3009
107,63.789406,96107,53.8348275897,03956397-d5f7-479e-8f55-b56cdabf49fd
108,54.575848,96108,43.0842155117,015ab05e-8647-4db0-8d9d-58051ebfbe33
109,51.348048,96109,42.8790335078,a8ec1cf1-2aed-45d6-9470-0a6d68fc41df
110,51.549112,96110,39.2299970111,90bdf5b8-a32a-4736-8779-ba44cd43de60
111,49.916846,96112,38.8733689964,f14a4029-d084-475a-be78-185bf8e15353
