,Unnamed: 0,ID,Segment ID,Roadway Name,From,To,Direction,Date,sum,Full Name,Boroughs
39,39,167,9008505,Henry Hudson Parkway,Netherland Avenue,Johnson Avenue,SB,09/13/2014,28091.0,Henry Hudson Parkway from Netherland Avenue to Johnson Avenue,Netherland Avenue
40,40,169,143872,Hutchinson River Parkway,Bartow Avenue,New England Thruway,SB,09/13/2014,42808.0,Hutchinson River Parkway from Bartow Avenue to New England Thruway,Bartow Avenue
41,41,169,143873,Hutchinson River Parkway,Bartow Avenue,New England Thruway,NB,09/13/2014,41049.0,Hutchinson River Parkway from Bartow Avenue to New England Thruway,Bartow Avenue
42,42,170,9008891,Hutchinson River Parkway,Boller Avenue,Einstein Loop SB,NB,09/13/2014,57843.0,Hutchinson River Parkway from Boller Avenue to Einstein Loop SB,East Bronx
43,43,170,9008895,Hutchinson River Parkway,Boller Avenue,Einstein Loop SB,SB,09/13/2014,53650.0,Hutchinson River Parkway from Boller Avenue to Einstein Loop SB,East Bronx
44,44,221,70220,Melrose Avenue,East 153 Street,East 154 Street,NB,09/13/2014,4479.0,Melrose Avenue from East 153 Street to East 154 Street,West Bronx
45,45,221,70220,Melrose Avenue,East 154 Street,East 153 Street,SB,09/13/2014,6225.0,Melrose Avenue from East 154 Street to East 153 Street,West Bronx
46,46,224,9003579,Morris Avenue,156 Street,Park Avenue,NB,09/13/2014,11159.0,Morris Avenue from 156 Street to Park Avenue,N/A
47,47,224,9003579,Morris Avenue,156 Street,Park Avenue,SB,09/13/2014,7582.0,Morris Avenue from 156 Street to Park Avenue,N/A
48,48,225,9001489,Morris Avenue,East 153 Street,East 156 Street,NB,09/13/2014,5308.0,Morris Avenue from East 153 Street to East 156 Street,West Bronx
49,49,225,9001489,Morris Avenue,East 156 Street,East 153 Street,SB,09/13/2014,3347.0,Morris Avenue from East 156 Street to East 153 Street,West Bronx
50,50,227,107183,Moshoulu Parkway,Van Courtlandt Avenue East,Grand Concourse,NB,09/13/2014,7758.0,Moshoulu Parkway from Van Courtlandt Avenue East to Grand Concourse,Van Cortlandt Park South
51,51,227,107183,Moshoulu Parkway,Van Courtlandt Avenue East,Grand Concourse,SB,09/13/2014,9533.0,Moshoulu Parkway from Van Courtlandt Avenue East to Grand Concourse,Van Cortlandt Park South
52,52,236,261726,Park Avenue,138 Street,135 Street,NB,09/13/2014,2702.0,Park Avenue from 138 Street to 135 Street,New York
