Source,Address,County,Sector,Sub Sector,Total Emissions (MT CO2e),Biogenic CO2 (MT CO2),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),Hydrofluorocarbons (MT CO2e),Perfluorocarbons (MT CO2e),Sulfur Hexafluoride (MT CO2e),Other (MT CO2e),Location,Point Size- Based on Total Emissions,Sector Number
Naval Base Kitsap - Bremerton,"120 South Dewey Street Bremerton, WA 98315",Kitsap,Government,National Security,46625,0,46576,22,27,0,0,0,0,"(47.557047, -122.645933)",2,3
"Longview Fibre Paper and Packaging, Inc/KapStone Kraft - Longview","300 Fibre Way Longview, WA 98632",Cowlitz,Pulp and Paper,Kraft Mills,1647571,1461926,179079,1314,5252,0,0,0,0,"(46.10361, -122.92167)",4,9
Ash Grove Cement Company - Seattle,"3801 E. Marginal Way S. Seattle, WA 98134",King,Minerals,Cement Production,355513,0,355217,120,176,0,0,0,0,"(47.56799, -122.34255)",3,6
"Emerald Kalama Chemical, LLC - Kalama","1296 NW 3rd Street Kalama, WA 98625",Cowlitz,Chemicals,Other Chemicals,85328,0,85247,35,46,0,0,0,0,"(46.02191, -122.85698)",2,1
Okanogan County Central Landfill - Okanogan,"241 B&O Road Okanogan, WA 98840",Okanogan,Waste,Municipal Landfills,13567,0,0,13567,0,0,0,0,0,"(48.341148, -119.620109)",1,11
Port Townsend Paper Corporation - Port Townsend,"100 Mill Road Port Townsend, WA 98368",Jefferson,Pulp and Paper,Kraft Mills,601256,547590,50493,580,2594,0,0,0,0,"(48.093793, -122.796806)",3,9
"Tyson Fresh Meats, Inc. - Wallula","13983 Dodd Road Wallula, WA 99363",Walla Walla,Food Production,Meat Products,110198,0,23080,87105,13,0,0,0,0,"(46.137521, -118.913051)",3,2
Northwest Pipeline C/S - Snohomish,"22902 Echo Lake Road Snohomish, WA 98296",Snohomish,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,51798,0,51068,701,29,0,0,0,0,"(47.78825, -122.05859)",2,7
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley","15000 E Euclid Ave Spokane Valley, WA 99215",Spokane,Metals,Other Metals,126365,0,126235,60,71,0,0,0,0,"(47.687074, -117.212673)",3,5
Puget Sound Energy - Goldendale Generating Station - Goldendale,"600 Industrial Way Goldendale, WA 98620",Klickitat,Power Plants,Natural Gas Turbine Plants,415075,0,414653,192,229,0,0,0,0,"(45.8114, -120.833)",3,8
Spokane Waste to Energy Facility - Spokane,"2900 S Geiger Blvd Spokane, WA 99224",Spokane,Waste,Solid Waste Combustion,234104,140810,88156,2004,3135,0,0,0,0,"(47.626529, -117.504278)",3,11
